	tetracycline_efflux_MFS_transporter_Tet(B)	tetracycline_repressor_protein_class_A(tetR)	tetracycline_efflux_MFS_transporter_Tet(G)	tetracycline_resistance_transcriptional_repressor_TetR(G)	tetracycline_efflux_MFS_transporter_Tet(D)	Group
GuizhouCDC_GuizhouCDC_GZGY2022-004	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZGY2022-146	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZQDN2022-030	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZQN2022-103	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZQN2022-148	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZTR2022-025	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZTR2022-046	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZTR2022-125	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZTR2022-135	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZZY2022-010	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZZY2022-081	0	1	0	0	0	R
GuizhouCDC_GuizhouCDC_GZZY2022-087	1	0	0	0	0	R
HenanCDC_SMAY20220020	0	1	0	0	0	R
HenanCDC_SMAY20220054	0	1	0	0	0	R
HenanCDC_SMAY20220070	0	1	0	0	0	R
HenanCDC_SMHALYFHMF6	0	1	0	0	0	R
HenanCDC_SMHALYTZGH1	0	1	0	0	0	R
HenanCDC_SMHALYTZGH10	0	1	0	0	0	R
HenanCDC_SMHALYTZGH11	0	1	0	0	0	R
HenanCDC_SMHALYTZGH12	0	1	0	0	0	R
HenanCDC_SMHALYTZGH13	0	1	0	0	0	R
HenanCDC_SMHALYTZGH14	0	1	0	0	0	R
HenanCDC_SMHALYTZGH3	0	1	0	0	0	R
HenanCDC_SMHALYTZGH4	0	1	0	0	0	R
HenanCDC_SMHALYTZGH5	0	1	0	0	0	R
HenanCDC_SMHALYTZGH6	0	1	0	0	0	R
HenanCDC_SMHALYTZGH7	0	1	0	0	0	R
HenanCDC_SMHALYTZGH8	0	1	0	0	0	R
HenanCDC_SMHALYTZHJ2	0	0	0	0	0	R
HenanCDC_SMHALYTZHJ3	0	1	0	0	0	R
HenanCDC_SMHALYTZHJ4	0	1	0	0	0	R
HenanCDC_SMHALYTZHJ5	0	1	0	0	0	R
HenanCDC_SMHALYTZHJ6	0	1	0	0	0	R
HenanCDC_SMHALYTZLH1	0	1	0	0	0	R
HenanCDC_SMHALYTZLH10	0	1	0	0	0	R
HenanCDC_SMHALYTZLH11	0	1	0	0	0	R
HenanCDC_SMHALYTZLH12	0	1	0	0	0	R
HenanCDC_SMHALYTZLH2	0	1	0	0	0	R
HenanCDC_SMHALYTZLH4	0	0	1	1	0	R
HenanCDC_SMHALYTZLH5	0	1	0	0	0	R
HenanCDC_SMHALYTZLH6	0	1	0	0	0	R
