	tetracycline_efflux_MFS_transporter_Tet(B)	tetracycline_repressor_protein_class_A(tetR)	tetracycline_efflux_MFS_transporter_Tet(G)	tetracycline_resistance_transcriptional_repressor_TetR(G)	tetracycline_efflux_MFS_transporter_Tet(D)	Group
haS13	0	0	0	0	0	R
haS130	0	0	0	0	0	R
haS135	0	1	0	0	0	R
haS14	0	1	0	0	0	R
haS143	0	0	0	0	0	R
haS144	0	0	0	0	0	R
haS148	0	1	0	0	0	R
haS168	0	1	0	0	0	R
haS17	0	1	0	0	0	R
haS171	0	1	0	0	0	R
haS177	0	1	0	0	0	R
haS178	0	1	0	0	0	R
haS179	0	1	0	0	0	R
haS180	0	1	0	0	0	R
haS181	0	1	0	0	0	R
haS182	0	1	0	0	0	R
haS184	0	1	0	0	0	R
haS192	1	0	0	0	0	R
haS193	0	1	0	0	0	R
haS194	0	1	0	0	0	R
haS195	0	1	0	0	0	R
haS197	1	0	0	0	0	R
haS198	0	1	0	0	0	R
haS200	0	1	0	0	0	R
haS201	0	1	0	0	0	R
haS202	0	1	0	0	0	R
haS206	0	1	0	0	0	R
haS208	0	0	0	0	0	R
haS21	0	1	0	0	0	R
haS22	0	0	0	0	0	R
haS26	1	0	0	0	0	R
haS28	0	1	0	0	1	R
haS29	1	1	0	0	0	R
haS31	1	0	0	0	0	R
haS32	0	1	0	0	0	R
haS34	1	0	0	0	0	R
haS36	1	1	0	0	0	R
haS40	0	1	0	0	0	R
haS41	1	0	0	0	0	R
haS44	1	0	0	0	0	R
haS46	0	1	0	0	0	R
haS48	1	0	0	0	0	R
haS49	1	0	0	0	0	R
haS50	1	0	0	0	0	R
haS51	1	0	0	0	0	R
haS53	1	0	0	0	0	R
haS56	1	0	0	0	0	R
haS57	1	0	0	0	0	R
haS58	1	0	0	0	0	R
haS59	0	1	0	0	0	R
haS62	1	0	0	0	0	R
haS63	1	1	0	0	0	R
haS64	0	1	0	0	0	R
haS65	1	1	0	0	0	R
haS67	1	0	0	0	0	R
haS7	0	1	0	0	0	R
haS71	1	0	0	0	0	R
haS75	1	0	0	0	0	R
haS76	0	1	0	0	0	R
haS77	0	0	0	0	0	R
haS78	0	0	1	1	0	R
haS79	0	1	0	0	0	R
haS82	0	0	0	0	0	R
haS84	0	1	0	0	0	R
haS85	0	1	0	0	0	R
haS86	0	0	1	1	0	R
haS87	0	1	0	0	0	R
haS9	1	0	0	0	0	R
haS90	0	0	0	0	0	R
haS93	0	1	0	0	0	R
haS95	1	0	0	0	0	R
haS96	0	0	0	0	0	R
haS97	0	1	0	0	0	R
hb19S1	1	0	0	0	0	R
hb19S10	1	0	0	0	0	R
hb19S100	1	0	0	0	0	R
hb19S101	0	1	0	0	0	R
hb19S102	0	1	0	0	0	R
hb19S104	0	1	0	0	0	R
hb19S105	1	0	0	0	0	R
hb19S108	0	1	0	0	0	R
hb19S109	0	0	0	0	0	R
hb19S110	0	1	0	0	0	R
hb19S112	0	1	0	0	0	R
hb19S113	0	1	0	0	0	R
hb19S114	0	1	0	0	0	R
hb19S115	0	1	0	0	0	R
hb19S116	0	1	0	0	0	R
hb19S117	0	1	0	0	0	R
hb19S118	0	1	0	0	0	R
hb19S119	0	1	0	0	0	R
hb19S120	0	1	0	0	0	R
hb19S122	0	1	0	0	0	R
hb19S123	0	1	0	0	0	R
hb19S124	1	0	0	0	0	R
hb19S125	0	1	0	0	0	R
hb19S126	0	1	0	0	0	R
hb19S127	1	0	0	0	0	R
hb19S128	0	1	0	0	0	R
hb19S13	1	1	0	0	0	R
hb19S130	0	1	0	0	0	R
hb19S133	0	1	0	0	0	R
hb19S137	0	1	0	0	0	R
hb19S139	0	1	0	0	0	R
hb19S141	0	0	0	0	0	R
hb19S142	0	1	0	0	0	R
hb19S143	1	0	0	0	0	R
hb19S146	0	0	0	0	0	R
hb19S147	0	0	0	0	0	R
hb19S148	0	1	0	0	0	R
hb19S151	0	1	0	0	0	R
hb19S154	1	0	0	0	0	R
hb19S155	0	1	0	0	0	R
hb19S156	0	1	0	0	0	R
hb19S157	0	1	0	0	0	R
hb19S159	0	1	0	0	0	R
hb19S160	1	0	0	0	0	R
hb19S161	0	1	0	0	0	R
hb19S163	1	0	0	0	0	R
hb19S167	0	1	0	0	0	R
hb19S169	0	1	0	0	0	R
hb19S17	0	1	0	0	0	R
hb19S170	0	1	0	0	0	R
hb19S171	0	1	0	0	0	R
hb19S173	0	1	0	0	0	R
hb19S174	0	1	0	0	0	R
hb19S179	0	1	0	0	0	R
hb19S181	1	0	0	0	0	R
hb19S19	0	1	0	0	0	R
hb19S190	1	0	0	0	0	R
hb19S192	0	1	0	0	0	R
hb19S193	1	0	0	0	0	R
hb19S194	0	1	0	0	0	R
hb19S197	0	1	0	0	0	R
hb19S20	0	0	0	0	0	R
hb19S200	0	1	0	0	0	R
hb19S202	0	1	0	0	0	R
hb19S204	0	1	0	0	0	R
hb19S205	1	0	0	0	0	R
hb19S206	0	1	0	0	0	R
hb19S207	1	1	0	0	0	R
hb19S211	0	1	0	0	0	R
hb19S212	0	1	0	0	0	R
hb19S214	0	1	0	0	0	R
hb19S215	0	0	0	0	0	R
hb19S217	0	1	0	0	0	R
hb19S219	1	0	0	0	0	R
hb19S221	0	1	0	0	0	R
hb19S223	0	1	0	0	0	R
hb19S229	0	0	0	0	0	R
hb19S230	0	1	0	0	0	R
hb19S231	1	0	0	0	0	R
hb19S233	0	1	0	0	0	R
hb19S235	1	0	0	0	0	R
hb19S236	0	1	0	0	0	R
hb19S237	0	1	0	0	0	R
hb19S238	0	1	0	0	0	R
hb19S239	0	1	0	0	0	R
hb19S240	1	0	0	0	0	R
hb19S241	0	1	0	0	0	R
hb19S242	0	1	0	0	0	R
hb19S243	1	0	0	0	0	R
hb19S244	0	1	0	0	0	R
hb19S247	0	1	0	0	0	R
hb19S248	0	1	0	0	0	R
hb19S250	0	1	0	0	0	R
hb19S254	0	1	0	0	0	R
hb19S255	0	1	0	0	0	R
hb19S256	0	1	0	0	0	R
hb19S261	0	1	0	0	0	R
hb19S262	1	1	0	0	0	R
hb19S265	0	1	0	0	0	R
hb19S268	0	1	0	0	0	R
hb19S27	0	1	0	0	0	R
hb19S270	1	0	0	0	0	R
hb19S272	1	0	0	0	0	R
hb19S273	1	0	0	0	0	R
hb19S274	0	1	0	0	0	R
hb19S276	0	1	0	0	0	R
hb19S278	1	0	0	0	0	R
hb19S279	0	1	0	0	0	R
hb19S28	1	1	0	0	0	R
hb19S280	0	1	0	0	0	R
hb19S282	1	0	0	0	0	R
hb19S284	0	1	0	0	0	R
hb19S290	0	1	0	0	0	R
hb19S291	0	1	0	0	0	R
hb19S293	0	1	0	0	0	R
hb19S295	0	1	0	0	0	R
hb19S296	1	1	0	0	0	R
hb19S299	0	1	0	0	0	R
hb19S30	1	0	0	0	0	R
hb19S301	0	1	0	0	0	R
hb19S303	1	1	0	0	0	R
hb19S33	1	1	0	0	0	R
hb19S34	0	1	0	0	0	R
hb19S37	0	0	0	0	0	R
hb19S40	1	1	0	0	0	R
hb19S42	1	0	0	0	0	R
hb19S43	1	0	0	0	0	R
hb19S45	0	1	0	0	0	R
hb19S46	0	1	0	0	0	R
hb19S47	0	1	0	0	0	R
hb19S49	0	1	0	0	0	R
hb19S5	0	1	0	0	0	R
hb19S50	1	0	0	0	0	R
hb19S52	1	0	0	0	0	R
hb19S53	0	1	0	0	0	R
hb19S55	0	1	0	0	0	R
hb19S58	0	1	0	0	0	R
hb19S59	1	0	0	0	0	R
hb19S6	0	1	0	0	0	R
hb19S60	1	0	0	0	0	R
hb19S61	1	1	0	0	0	R
hb19S63	0	1	0	0	0	R
hb19S64	0	1	0	0	0	R
hb19S65	0	1	0	0	0	R
hb19S66	0	1	0	0	0	R
hb19S68	1	0	0	0	0	R
hb19S69	0	1	0	0	0	R
hb19S7	0	1	0	0	0	R
hb19S72	0	1	0	0	0	R
hb19S73	0	1	0	0	0	R
hb19S75	0	1	0	0	0	R
hb19S76	0	1	0	0	0	R
hb19S79	0	1	0	0	0	R
hb19S86	0	1	0	0	0	R
hb19S87	0	1	0	0	0	R
hb19S88	0	1	0	0	0	R
hb19S9	1	0	0	0	0	R
hb19S90	1	0	0	0	0	R
hb19S91	0	1	0	0	0	R
hb19S92	1	0	0	0	0	R
hb19S93	0	1	0	0	0	R
hb19S97	0	1	0	0	0	R
hb19S99	1	0	0	0	0	R
hb21S1	1	0	0	0	0	R
hb21S100	1	1	0	0	0	R
hb21S106	1	1	0	0	0	R
hb21S108	1	0	0	0	0	R
hb21S109	1	0	0	0	0	R
hb21S110	1	0	0	0	0	R
hb21S119	1	0	0	0	0	R
hb21S121	1	0	0	0	0	R
hb21S123	1	1	0	0	0	R
hb21S124	0	1	0	0	0	R
hb21S125	1	0	0	0	0	R
hb21S127	0	1	0	0	0	R
hb21S129	0	1	0	0	0	R
hb21S131	0	1	0	0	0	R
hb21S133	0	0	0	0	0	R
hb21S14	1	0	0	0	0	R
hb21S146	0	1	0	0	0	R
hb21S147	0	1	0	0	0	R
hb21S148	0	1	0	0	0	R
hb21S15	0	1	0	0	0	R
hb21S165	1	0	0	0	0	R
hb21S166	1	0	0	0	0	R
hb21S169	1	0	0	0	0	R
hb21S170	0	1	0	0	0	R
hb21S172	0	0	0	0	0	R
hb21S173	0	1	0	0	0	R
hb21S174	0	0	0	0	0	R
hb21S175	0	1	0	0	0	R
hb21S18	0	1	0	0	0	R
hb21S181	0	1	0	0	0	R
hb21S185	0	0	0	0	0	R
hb21S187	0	1	0	0	0	R
hb21S191	1	0	0	0	0	R
hb21S192	1	0	0	0	0	R
hb21S193	0	1	0	0	0	R
hb21S194	1	1	0	0	0	R
hb21S195	1	0	0	0	0	R
hb21S196	1	0	0	0	0	R
hb21S197	0	1	0	0	0	R
hb21S200	1	0	0	0	0	R
hb21S202	1	0	0	0	0	R
hb21S203	0	1	0	0	0	R
hb21S205	0	1	0	0	0	R
hb21S208	1	0	0	0	0	R
hb21S209	1	0	0	0	0	R
hb21S211	0	1	0	0	0	R
hb21S212	1	1	0	0	0	R
hb21S214	1	1	0	0	0	R
hb21S215	0	1	0	0	0	R
hb21S216	0	1	0	0	0	R
hb21S217	0	1	0	0	0	R
hb21S218	1	0	0	0	0	R
hb21S226	1	1	0	0	0	R
hb21S228	1	0	0	0	0	R
hb21S231	0	1	0	0	0	R
hb21S232	0	1	0	0	0	R
hb21S28	1	0	0	0	0	R
hb21S3	0	1	0	0	0	R
hb21S36	0	1	0	0	0	R
hb21S377	0	1	0	0	0	R
hb21S378	0	1	0	0	0	R
hb21S379	1	0	0	0	0	R
hb21S38	1	1	0	0	0	R
hb21S381	1	1	0	0	0	R
hb21S382	1	0	0	0	0	R
hb21S383	1	0	0	0	0	R
hb21S384	0	1	0	0	0	R
hb21S389	0	1	0	0	0	R
hb21S39	1	0	0	0	0	R
hb21S390	0	1	0	0	0	R
hb21S391	1	0	0	0	0	R
hb21S392	1	0	0	0	0	R
hb21S393	0	1	0	0	0	R
hb21S394	0	1	0	0	0	R
hb21S396	1	0	0	0	0	R
hb21S397	0	1	0	0	0	R
hb21S398	1	0	0	0	0	R
hb21S399	1	0	0	0	0	R
hb21S4	1	0	0	0	0	R
hb21S40	1	0	0	0	0	R
hb21S400	1	0	0	0	0	R
hb21S401	1	0	0	0	0	R
hb21S403	0	1	0	0	0	R
hb21S410	1	1	0	0	0	R
hb21S412	0	1	0	0	0	R
hb21S413	0	1	0	0	0	R
hb21S414	0	1	0	0	0	R
hb21S415	1	1	0	0	0	R
hb21S419	1	0	0	0	0	R
hb21S42	0	1	0	0	1	R
hb21S429	0	1	0	0	0	R
hb21S430	0	1	0	0	0	R
hb21S431	0	1	0	0	0	R
hb21S432	0	1	0	0	0	R
hb21S435	0	1	0	0	0	R
hb21S440	1	1	0	0	0	R
hb21S441	1	0	0	0	0	R
hb21S442	0	1	0	0	0	R
hb21S443	0	1	0	0	0	R
hb21S444	0	0	0	0	0	R
hb21S449	1	0	0	0	0	R
hb21S450	0	0	0	0	0	R
hb21S452	1	0	0	0	0	R
hb21S454	0	1	0	0	0	R
hb21S459	0	1	0	0	0	R
hb21S460	1	0	0	0	0	R
hb21S461	0	1	0	0	0	R
hb21S462	0	0	0	0	0	R
hb21S464	0	0	0	0	0	R
hb21S466	0	1	0	0	0	R
hb21S468	1	0	0	0	0	R
hb21S469	1	0	0	0	0	R
hb21S470	0	1	0	0	0	R
hb21S472	0	0	0	0	0	R
hb21S473	1	0	0	0	0	R
hb21S474	0	1	0	0	0	R
hb21S475	1	0	0	0	0	R
hb21S478	0	1	0	0	0	R
hb21S48	0	1	0	0	0	R
hb21S480	0	1	0	0	0	R
hb21S481	0	1	0	0	0	R
hb21S486	1	0	0	0	0	R
hb21S488	0	1	0	0	0	R
hb21S493	1	0	0	0	0	R
hb21S508	0	0	0	0	0	R
hb21S509	0	1	0	0	0	R
hb21S510	1	0	0	0	0	R
hb21S511	1	0	0	0	0	R
hb21S518	1	1	0	0	0	R
hb21S519	1	0	0	0	0	R
hb21S539	0	1	0	0	0	R
hb21S55	0	1	0	0	0	R
hb21S560	0	1	0	0	0	R
hb21S562	1	0	0	0	0	R
hb21S564	0	1	0	0	0	R
hb21S565	0	1	0	0	0	R
hb21S58	1	0	0	0	0	R
hb21S607	1	0	0	0	0	R
hb21S609	1	0	0	0	0	R
hb21S610	0	1	0	0	0	R
hb21S611	0	0	0	0	0	R
hb21S613	0	1	0	0	0	R
hb21S615	1	0	0	0	0	R
hb21S617	1	0	0	0	0	R
hb21S619	0	1	0	0	0	R
hb21S62	0	1	0	0	0	R
hb21S621	0	1	0	0	0	R
hb21S622	0	0	0	0	0	R
hb21S624	0	1	0	0	0	R
hb21S626	0	1	0	0	0	R
hb21S628	1	0	0	0	0	R
hb21S66	0	1	0	0	0	R
hb21S67	1	0	0	0	0	R
hb21S68	0	1	0	0	0	R
hb21S69	0	0	0	0	1	R
hb21S7	0	1	0	0	0	R
hb21S72	1	0	0	0	0	R
hb21S75	0	1	0	0	0	R
hb21S79	1	0	0	0	0	R
hb21S8	0	1	0	0	0	R
hb21S80	0	0	0	0	0	R
hb21S81	0	1	0	0	0	R
hb21S83	0	1	0	0	0	R
hb21S85	0	1	0	0	0	R
hb21S87	1	0	0	0	0	R
hb21S88	0	1	0	0	0	R
hb21S89	0	1	0	0	0	R
hb21S90	0	0	0	0	0	R
hb21S92	0	1	0	0	0	R
hb21S93	0	1	0	0	0	R
hb21S94	1	1	0	0	0	R
hb21S99	0	1	0	0	0	R
hbS1	0	1	0	0	0	R
hbS10	1	1	0	0	0	R
hbS100	0	1	0	0	0	R
hbS101	0	1	0	0	0	R
hbS106	0	1	0	0	0	R
hbS108	0	1	0	0	0	R
hbS109	1	0	0	0	0	R
hbS11	1	0	0	0	0	R
hbS110	1	1	0	0	0	R
hbS113	0	1	0	0	0	R
hbS116	0	1	0	0	0	R
hbS117	1	1	0	0	0	R
hbS12	1	0	0	0	0	R
hbS120	1	0	0	0	0	R
hbS121	1	0	0	0	0	R
hbS122	1	0	0	0	0	R
hbS125	0	1	0	0	0	R
hbS128	1	0	0	0	0	R
hbS129	0	1	0	0	0	R
hbS13	0	1	0	0	0	R
hbS130	1	1	0	0	0	R
hbS131	1	0	0	0	0	R
hbS132	0	1	0	0	0	R
hbS135	0	1	0	0	0	R
hbS136	1	1	0	0	0	R
hbS137	1	0	0	0	0	R
hbS139	0	1	0	0	0	R
hbS140	0	1	0	0	0	R
hbS141	0	1	0	0	0	R
hbS142	0	1	0	0	0	R
hbS143	0	1	0	0	0	R
hbS15	0	1	0	0	0	R
hbS17	0	1	0	0	0	R
hbS19	0	1	0	0	0	R
hbS2	0	1	0	0	0	R
hbS22	0	1	0	0	1	R
hbS23	0	1	0	0	1	R
hbS24	0	1	0	0	0	R
hbS25	0	1	0	0	0	R
hbS27	0	1	0	0	0	R
hbS28	1	0	0	0	0	R
hbS31	0	0	0	0	0	R
hbS33	0	1	0	0	1	R
hbS34	0	1	0	0	0	R
hbS35	0	1	0	0	0	R
hbS37	0	1	0	0	0	R
hbS38	0	1	0	0	0	R
hbS40	0	1	0	0	0	R
hbS41	0	1	0	0	0	R
hbS42	0	0	0	0	0	R
hbS45	1	0	0	0	0	R
hbS46	0	1	0	0	0	R
hbS48	0	1	0	0	0	R
hbS49	0	1	0	0	0	R
hbS5	0	1	0	0	0	R
hbS50	0	1	0	0	0	R
hbS51	1	1	0	0	0	R
hbS53	0	1	0	0	0	R
hbS54	0	1	0	0	0	R
hbS55	1	0	0	0	0	R
hbS56	0	1	0	0	0	R
hbS60	1	0	0	0	0	R
hbS67	1	0	0	0	0	R
hbS69	0	0	0	0	1	R
hbS70	1	0	0	0	0	R
hbS73	1	0	0	0	0	R
hbS74	0	1	0	0	0	R
hbS75	0	1	0	0	0	R
hbS76	0	1	0	0	0	R
hbS77	0	1	0	0	0	R
hbS78	1	0	0	0	0	R
hbS79	0	1	0	0	0	R
hbS80	0	1	0	0	1	R
hbS81	0	1	0	0	0	R
hbS82	0	1	0	0	0	R
hbS83	1	0	0	0	0	R
hbS84	1	0	0	0	0	R
hbS85	1	0	0	0	0	R
hbS86	1	0	0	0	0	R
hbS87	1	1	0	0	0	R
hbS88	1	0	0	0	0	R
hbS9	0	1	0	0	0	R
hbS92	1	1	0	0	0	R
hbS93	0	1	0	0	0	R
hbS95	1	0	0	0	0	R
hbS96	1	0	0	0	0	R
hbS97	1	1	0	0	0	R
hbS98	0	1	0	0	0	R
hbS99	0	1	0	0	0	R
he19S14	0	1	0	0	0	R
he19S15	0	1	0	0	0	R
he19S17	0	1	0	0	0	R
he19S18	1	0	0	0	0	R
he19S20	1	0	0	0	0	R
he19S21	0	1	0	0	0	R
he19S22	0	1	0	0	0	R
he19S24	0	1	0	0	0	R
he19S25	0	1	0	0	0	R
he19S27	0	1	0	0	0	R
he19S28	0	1	0	0	0	R
he19S35	0	1	0	0	0	R
he19S37	0	1	0	0	0	R
he19S39	1	1	0	0	0	R
he19S40	1	1	0	0	0	R
he19S44	0	0	0	0	0	R
he19S45	0	1	0	0	0	R
he19S46	0	1	0	0	0	R
he19S47	1	0	0	0	0	R
he19S49	0	1	0	0	0	R
he19S52	1	0	0	0	0	R
he19S58	1	0	0	0	0	R
he19S59	0	1	0	0	0	R
he19S61	1	1	0	0	0	R
he19S62	1	1	0	0	0	R
he19S63	1	1	0	0	0	R
he19S66	0	1	0	0	0	R
he19S68	1	0	0	0	0	R
he19S7	0	1	0	0	0	R
he19S71	1	0	0	0	0	R
he19S75	1	0	0	0	0	R
he20S1	0	1	0	0	0	R
he20S10	0	1	0	0	0	R
he20S106	0	1	0	0	0	R
he20S110	0	1	0	0	1	R
he20S111	0	1	0	0	0	R
he20S112	1	1	0	0	0	R
he20S115	0	1	0	0	0	R
he20S116	1	0	0	0	0	R
he20S119	0	1	0	0	0	R
he20S12	0	1	0	0	0	R
he20S123	0	1	0	0	0	R
he20S124	0	1	0	0	0	R
he20S125	0	1	0	0	0	R
he20S127	0	1	0	0	0	R
he20S14	0	1	0	0	0	R
he20S16	0	1	0	0	0	R
he20S17	0	1	0	0	0	R
he20S18	0	1	0	0	0	R
he20S2	0	0	0	0	0	R
he20S43	1	0	0	0	0	R
he20S44	0	1	0	0	0	R
he20S45	1	0	0	0	0	R
he20S47	0	0	0	0	0	R
he20S51	1	1	0	0	0	R
he20S52	0	1	0	0	0	R
he20S53	0	0	0	0	0	R
he20S57	1	0	0	0	0	R
he20S58	0	0	0	0	0	R
he20S61	0	1	0	0	0	R
he20S62	1	0	0	0	0	R
he20S63	1	0	0	0	0	R
he20S65	1	0	0	0	0	R
he20S70	1	0	0	0	0	R
he20S71	0	1	0	0	0	R
he20S72	0	1	0	0	0	R
he20S76	0	1	0	0	0	R
he20S77	0	1	0	0	0	R
he20S82	0	1	0	0	0	R
he20S86	1	0	0	0	0	R
he20S9	1	0	0	0	0	R
he20S93	0	1	0	0	0	R
he20S96	0	0	0	0	0	R
he20S97	0	1	0	0	0	R
he20S98	1	0	0	0	0	R
he21S3	1	1	0	0	0	R
he21S4	1	1	0	0	0	R
he21S5	1	0	0	0	0	R
he21S6	0	1	0	0	0	R
he21S7	1	0	0	0	0	R
he21S8	0	1	0	0	0	R
heS11	0	0	0	0	0	R
heS19	0	1	0	0	0	R
heS2	1	0	0	0	0	R
heS20	0	1	0	0	0	R
heS27	0	1	0	0	0	R
heS29	0	0	0	0	0	R
heS33	0	1	0	0	0	R
heS34	0	1	0	0	0	R
heS36	1	0	0	0	0	R
heS37	0	0	1	1	0	R
heS38	0	1	0	0	0	R
heS40	0	1	0	0	0	R
heS41	0	1	0	0	0	R
heS44	0	1	0	0	0	R
heS45	0	1	0	0	0	R
heS49	0	1	0	0	0	R
heS50	1	0	0	0	0	R
heS52	0	1	0	0	0	R
heS53	0	1	0	0	0	R
heS55	0	1	0	0	0	R
heS56	0	1	0	0	0	R
heS60	0	1	0	0	0	R
heS7	1	0	0	0	0	R
heS9	0	1	0	0	0	R
hl19S1	1	0	0	0	0	R
hl19S23	0	1	0	0	0	R
hl19S24	1	0	0	0	0	R
hl19S28	1	0	0	0	0	R
hl19S29	0	1	0	0	0	R
hl19S31	1	1	0	0	0	R
hl19S35	0	1	0	0	0	R
hl19S37	0	1	0	0	0	R
hl19S39	0	1	0	0	0	R
hl19S4	0	0	0	0	1	R
hl19S40	1	0	0	0	0	R
hl19S42	0	1	0	0	0	R
hl19S47	1	0	0	0	0	R
hl19S49	0	0	0	0	0	R
hl19S50	0	1	0	0	0	R
hl19S51	1	0	0	0	0	R
hl19S54	1	0	0	0	0	R
hl19S56	0	1	0	0	0	R
hl19S59	0	1	0	0	0	R
hl19S6	0	1	0	0	0	R
hl19S60	0	1	0	0	0	R
hl19S61	1	0	0	0	0	R
hl19S64	0	0	0	0	0	R
hl19S66	0	1	0	0	0	R
hl19S67	0	1	0	0	0	R
hl19S68	0	1	0	0	0	R
hl19S69	1	0	0	0	0	R
hl19S7	0	1	0	0	0	R
hl19S71	0	1	0	0	0	R
hl19S74	1	0	0	0	0	R
hl19S75	1	0	0	0	0	R
hl19S76	0	1	0	0	0	R
hl19S77	0	1	0	0	0	R
hl19S78	0	1	0	0	0	R
hl19S80	0	1	0	0	0	R
hl19S81	0	1	0	0	0	R
hl19S82	0	1	0	0	0	R
hl19S83	0	1	0	0	0	R
hl19S84	1	0	0	0	0	R
hl19S9	0	1	0	0	0	R
hl21S1	1	0	0	0	0	R
hl21S11	1	0	0	0	0	R
hl21S13	0	0	0	0	0	R
hl21S19	0	1	0	0	0	R
hl21S21	1	0	0	0	0	R
hl21S22	0	1	0	0	0	R
hl21S27	1	0	0	0	0	R
hl21S28	0	0	0	0	0	R
hl21S29	1	0	0	0	0	R
hl21S3	0	1	0	0	0	R
hl21S37	0	1	0	0	0	R
hl21S39	0	1	0	0	0	R
hl21S4	0	1	0	0	0	R
hl21S40	0	0	0	0	0	R
hl21S42	0	1	0	0	0	R
hl21S47	0	1	0	0	0	R
hl21S6	0	0	0	0	0	R
hl21S7	0	1	0	0	0	R
hl21S8	1	0	0	0	0	R
hl21S9	0	1	0	0	0	R
hlS1	0	0	0	0	0	R
hlS17	1	0	0	0	0	R
hlS20	1	0	0	0	0	R
hlS21	0	1	0	0	0	R
hlS23	0	0	0	0	0	R
hlS27	0	0	0	0	0	R
hlS28	0	1	0	0	0	R
hlS29	0	0	0	0	0	R
hlS34	0	1	0	0	0	R
hlS49	1	0	0	0	0	R
hlS54	0	1	0	0	0	R
hlS55	0	0	0	0	0	R
hlS56	0	1	0	0	0	R
hlS57	0	1	0	0	0	R
hlS58	0	1	0	0	0	R
hlS65	0	0	0	0	0	R
hlS68	0	1	0	0	0	R
hlS69	0	0	0	0	0	R
hlS70	0	0	0	0	0	R
hlS74	0	0	0	0	0	R
hlS75	0	1	0	0	0	R
hlS76	0	0	0	0	0	R
hlS77	0	1	0	0	0	R
hlS8	0	1	0	0	0	R
hn19S1	1	1	0	0	0	R
hn19S101	1	0	0	0	0	R
hn19S102	0	1	0	0	0	R
hn19S103	0	1	0	0	0	R
hn19S104	1	1	0	0	0	R
hn19S106	1	0	0	0	0	R
hn19S107	0	1	0	0	0	R
hn19S108	0	1	0	0	0	R
hn19S110	0	1	0	0	0	R
hn19S111	0	1	0	0	0	R
hn19S115	0	0	0	0	0	R
hn19S116	0	1	0	0	0	R
hn19S118	1	0	0	0	0	R
hn19S119	1	1	0	0	0	R
hn19S12	0	1	0	0	0	R
hn19S121	0	1	0	0	0	R
hn19S123	1	0	0	0	0	R
hn19S125	1	1	0	0	0	R
hn19S127	1	0	0	0	0	R
hn19S128	0	1	0	0	0	R
hn19S129	1	1	0	0	0	R
hn19S131	0	1	0	0	0	R
hn19S132	1	0	0	0	0	R
hn19S133	0	1	0	0	0	R
hn19S136	0	1	0	0	0	R
hn19S137	0	1	0	0	0	R
hn19S138	1	0	0	0	0	R
hn19S14	0	1	0	0	0	R
hn19S140	1	0	0	0	0	R
hn19S141	0	1	0	0	0	R
hn19S142	1	1	0	0	1	R
hn19S143	0	0	0	0	0	R
hn19S144	1	0	0	0	0	R
hn19S147	0	1	0	0	0	R
hn19S15	0	1	0	0	0	R
hn19S151	1	0	0	0	0	R
hn19S153	0	0	0	0	0	R
hn19S154	1	0	0	0	0	R
hn19S155	0	1	0	0	0	R
hn19S156	0	1	0	0	0	R
hn19S157	0	1	0	0	0	R
hn19S158	1	0	0	0	0	R
hn19S159	1	0	0	0	0	R
hn19S16	0	0	0	0	0	R
hn19S160	0	1	0	0	0	R
hn19S161	0	1	0	0	0	R
hn19S162	1	0	0	0	0	R
hn19S165	1	0	0	0	0	R
hn19S166	0	1	0	0	0	R
hn19S167	0	1	0	0	0	R
hn19S169	1	0	0	0	0	R
hn19S170	1	0	0	0	0	R
hn19S172	1	0	0	0	0	R
hn19S173	0	1	0	0	0	R
hn19S174	1	0	0	0	0	R
hn19S175	1	0	0	0	0	R
hn19S177	1	0	0	0	0	R
hn19S178	0	1	0	0	0	R
hn19S179	0	1	0	0	0	R
hn19S181	0	1	0	0	0	R
hn19S183	0	1	0	0	0	R
hn19S185	0	1	0	0	0	R
hn19S186	0	1	0	0	0	R
hn19S187	0	1	0	0	0	R
hn19S188	0	1	0	0	0	R
hn19S189	0	1	0	0	0	R
hn19S19	1	0	0	0	0	R
hn19S191	0	1	0	0	0	R
hn19S192	0	1	0	0	0	R
hn19S193	1	0	0	0	0	R
hn19S194	0	1	0	0	0	R
hn19S195	0	1	0	0	0	R
hn19S196	0	1	0	0	0	R
hn19S199	0	1	0	0	0	R
hn19S21	0	1	0	0	0	R
hn19S23	0	1	0	0	0	R
hn19S24	1	0	0	0	0	R
hn19S26	0	1	0	0	0	R
hn19S27	1	0	0	0	0	R
hn19S28	1	0	0	0	0	R
hn19S29	1	0	0	0	0	R
hn19S3	0	1	0	0	0	R
hn19S31	0	1	0	0	0	R
hn19S32	1	0	0	0	0	R
hn19S33	0	1	0	0	0	R
hn19S36	0	1	0	0	0	R
hn19S37	1	0	0	0	0	R
hn19S4	0	1	0	0	0	R
hn19S45	0	1	0	0	0	R
hn19S46	0	1	0	0	0	R
hn19S5	0	1	0	0	0	R
hn19S52	0	1	0	0	0	R
hn19S55	1	0	0	0	0	R
hn19S56	0	1	0	0	0	R
hn19S57	1	0	0	0	0	R
hn19S58	0	1	0	0	0	R
hn19S59	0	1	0	0	0	R
hn19S64	1	0	0	0	0	R
hn19S66	0	1	0	0	0	R
hn19S68	1	0	0	0	0	R
hn19S69	1	0	0	0	0	R
hn19S76	0	1	0	0	0	R
hn19S77	0	1	0	0	0	R
hn19S78	0	0	0	0	0	R
hn19S79	0	1	0	0	0	R
hn19S80	0	0	0	0	0	R
