	broad-spectrum_class_A_beta-lactamase_TEM-1	aminoglycoside_N-acetyltransferase_AAC(3)-IVa	SMR_family_transporter(WP_000159237.1)	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	NAD(+)--rifampin_ADP-ribosyltransferase_Arr-2	extended-spectrum_class_A_beta-lactamase_CTX-M-55	oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1	class_A_beta-lactamase	extended-spectrum_class_A_beta-lactamase_CTX-M-14	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
FujianCDC_FujianCDC_JS22F16	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22F17	1	0	0	1	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22F18	1	0	0	1	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22F2	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22F20	1	0	0	1	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22F5	1	0	0	1	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22F6	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22F8	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22F9	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22G1	0	0	0	1	0	0	0	0	1	0	R
FujianCDC_FujianCDC_JS22G11	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22G13	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22G14	0	1	0	1	0	0	1	0	0	1	R
FujianCDC_FujianCDC_JS22G15	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22G2	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22G3	0	0	0	1	1	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22G4	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22G6	1	0	0	0	0	0	0	0	0	1	R
FujianCDC_FujianCDC_JS22G7	1	0	0	1	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22G8	1	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22G9	0	0	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22H1	0	0	0	0	0	0	0	0	0	1	R
GansuCDC_GansuCDC_GS094305202100039SM	1	0	0	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GS094305202100119SM	1	0	0	0	0	1	0	0	0	0	R
GansuCDC_GansuCDC_GS094305202100131SM	1	0	0	0	0	1	0	0	0	0	R
GansuCDC_GansuCDC_GS094305202100171SM	0	0	0	1	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GS094305202100172SM	1	0	0	1	0	1	0	0	0	0	R
GansuCDC_GansuCDC_GS094305202100238SM	1	0	0	1	0	0	0	0	0	1	R
GansuCDC_GansuCDC_GS094305202100256SM	1	0	0	1	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GS094305202200024SM	1	0	0	1	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GS094322202100114SM	1	0	0	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GS2021012SM	0	0	0	1	0	0	0	1	0	0	R
GansuCDC_GansuCDC_GS41994202200084SM	1	0	0	1	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSBY2021004SM	1	0	0	1	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSBY2022003SM	1	0	0	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSBY2022022SM	1	0	0	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSBY2022027SM	0	1	0	1	0	1	1	0	0	1	R
GansuCDC_GansuCDC_GSBY2022065SM	1	0	0	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSDX2021002SM	1	0	1	1	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSDX2021003SM	1	0	0	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSDX2021009SM	1	0	1	1	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSDX2022001SM	0	0	0	0	0	0	1	0	0	1	R
GansuCDC_GansuCDC_GSDX2022058SM	0	1	1	1	1	0	0	0	0	0	R
GansuCDC_GansuCDC_GSGN2021005SM	1	0	0	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSJC2022008SM	1	0	0	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSJQ2022013SM	0	0	0	0	0	0	0	0	1	0	R
GansuCDC_GansuCDC_GSLN2021001SM	0	0	1	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSLN2022002SM	1	0	0	0	0	0	0	0	0	0	R
GansuCDC_GansuCDC_GSPL2022017SM	1	0	0	0	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0138	1	0	0	1	0	0	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0170	1	0	0	1	0	1	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0174	0	0	0	1	0	1	0	0	0	0	R
GuangdongCDC_GuangdongCDC_22ESS0207	1	0	0	1	0	1	0	0	0	0	R
