	extended-spectrum_class_A_beta-lactamase_CTX-M-55	extended-spectrum_class_A_beta-lactamase_CTX-M-65	extended-spectrum_class_A_beta-lactamase_CTX-M-14	quinolone_resistance_pentapeptide_repeat_protein_QnrB22	class_C_beta-lactamase_CMY-2	macrolide_resistance_MFS_transporter_Mrx(A)	extended-spectrum_class_A_beta-lactamase_CTX-M-123	MBL_fold_metallo-hydrolase(WP_001522969.1)	extended-spectrum_class_A_beta-lactamase_CTX-M-64	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
HenanCDC_SMHBRJ2022094-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022095	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022096-1	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022096-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022096-3	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMHBRJ2022098-1	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022099-1	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022099-2	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMHBRJ2022099-3	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMHBRJ2022100-1	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022100-2	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022102-1	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022102-3	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMHBRJ2022102-4	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022103	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022104	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022105-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022105-3	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022106	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022107-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022110	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022111-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022112-1	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022113-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022114-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022114-3	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022115-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022116	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022120	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022121	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022122	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMHBRJ2022123	0	1	0	0	0	0	0	0	0	0	R
